(16537, 19312917.721276484)
(15772, 19312935.650422055)
(15812, 19312990)
(15772, 19313063)
(16012, 19313150)
(16612, 19313279)
(16632, 19313345)
(17232, 19313351)
(24048, 19313355.499678254)
(24048, 19313361.713038757)
(24048, 19313375.53816015)
(24048, 19313432)
(24048, 19313458.21804961)
(24048, 19313464.08399252)
(24048, 19313468.499678254)
(24048, 19313510.044639576)
(24048, 19313543.16102233)
(24048, 19313599.564678524)
(24048, 19313652.16102233)
(24048, 19313759.16102233)
(24048, 19313961.775918104)
(24048, 19314084.003776677)
(24048, 19314213.921990313)
(24048, 19314321.921990313)
(24048, 19314359.55415372)
(24048, 19314558.840803433)
(24048, 19314881.840803433)
(24048, 19314952.18205804)
(24048, 19315388.18205804)
(24048, 19315506.40146979)
(24048, 19315515.523094546)
(24048, 19315641.755841356)
(24048, 19315758.236127146)
(24048, 19315977.362535056)
(24048, 19316050.362535056)
(24048, 19316691.19738078)
(24048, 19316698.82081742)
(24048, 19316705.186818503)
(24048, 19316789.61055608)
(24048, 19316814.418959662)
(24048, 19316851.174183086)
(24048, 19316857.339019224)
(24048, 19316863.26606038)
(24048, 19316958.936029725)
(24048, 19316976.26606038)
(24048, 19316981.588648416)
(24048, 19316987.345878415)
(24048, 19317093.345878415)
(24048, 19317099.588648416)
(24048, 19317105.00937357)
(24048, 19317106.008206118)
(24048, 19317230.008206118)
(24048, 19317841.67355547)
(24048, 19317965.67355547)
(24048, 19317989.805186294)
(24048, 19318314.440500967)
(24048, 19318784.048590016)
(24048, 19318784.048590016)
(24048, 19318795.473692548)
(24048, 19318799.918219145)
(24048, 19318803.33062256)
(24048, 19318824.721276484)
(24048, 19318840)
(24048, 19318885.08989295)
(24048, 19318921.918219145)
(24048, 19318925.33062256)
(24048, 19318986.747711964)
(24048, 19318986.747711964)
(24048, 19319043.267181385)
(24048, 19319249.23916923)
(24048, 19319277.189318974)
(24048, 19319395.90534494)
(24048, 19319398.189318974)
(24048, 19319413.082991906)
(24048, 19319438.125723135)
(24048, 19319442.45667929)
(24048, 19319443.10673773)
(24048, 19319461)
(24048, 19319462)
(24048, 19319463)
(24048, 19319464)
(24048, 19319472.082991906)
(24048, 19319519.68773818)
(24048, 19319529.509973597)
(24048, 19319539.465191986)
(24048, 19319543.694373276)
(24048, 19319548.812705614)
(24048, 19319554.63086527)
(24048, 19319636.694373276)
(24048, 19319657.63086527)
(24048, 19319660.345353004)
(24048, 19319666.812705614)
(24048, 19319751.740515146)
(24048, 19319776.201843206)
(24048, 19319885.201843206)
(24048, 19320010.201843206)
(24048, 19320043.17162082)
(24048, 19320059)
(24048, 19320072)
(24048, 19320078.8678931)
(24048, 19320174.673367716)
(24048, 19320211.693237778)
(24048, 19320284.673367716)
(24048, 19320299.673367716)
(24048, 19320323.566583168)
(24048, 19320339.346323553)
(24048, 19320456.4226534)
(24048, 19320474.54805617)
(24048, 19320589.091793817)
(24048, 19320597.4226534)
(24048, 19320697.4226534)
(24048, 19320716.65204589)
(24048, 19324086.86606559)
(24048, 19324180.86606559)
(24048, 19324194.86606559)
(24048, 19324300.86606559)
(24048, 19324350.86606559)
(24048, 19324423.86606559)
(21442, 19326113.462007854)
(21602, 19326338)
(21262, 19326604.62845561)
(21742, 19326815)
(22582, 19326846)
(22612, 19327149.44572696)
(23112, 19328542)
(17543, 19340692.458809767)
(17863, 19340795)
(18583, 19340901)
(15923, 19342455.83971508)
(16243, 19345992)
(15923, 19346468)
(16243, 19346487)
(15383, 19347131.824066542)
(16679, 19348104)
(8878, 19377032.37811054)
(9038, 19384898)
(8878, 19385432)
(9038, 19385483)
(9494, 19385497)
(9975, 19385564)
(9815, 19385567.578833118)
(9975, 19385605)
(9815, 19386395.20443613)
(9975, 19387391)
(10415, 19389153)
(10055, 19389188.30364567)
(10056, 19389425)
(9695, 19389546)
(9855, 19389709)
(10255, 19391171)
(8399, 19391975.723662626)
(8639, 19392405)
(9139, 19392418)
(9589, 19392426)
(10039, 19392438)
(10449, 19392781)
(10450, 19392784)
(10451, 19392834)
(10449, 19392918)
(10689, 19393058)
(11189, 19393062)
(10989, 19393170)
(11189, 19393214)
(11190, 19393215)
(11189, 19393274)
(11190, 19393278)
(10829, 19393365)
(11069, 19393454)
(11529, 19393645)
(11969, 19394045)
(12509, 19394313)
(11909, 19394370.880359996)
(11369, 19394605.737278327)
(11529, 19394687)
(11969, 19394799)
(12509, 19394818)
(13009, 19394962)
(13459, 19395388)
(13259, 19395405.71170966)
(12809, 19395471.153116282)
(13009, 19395512)
(13459, 19395652)
(12432, 19395705.163491353)
(12433, 19395968)
(12432, 19396037)
(12433, 19396041)
(12432, 19396112)
(12433, 19396140)
(11892, 19396210)
(11893, 19396255)
(11892, 19396302)
(12132, 19396636)
(12672, 19396670)
(12432, 19396903.133365836)
(12672, 19397124)
(12432, 19397239)
(12672, 19397271)
(13212, 19397314)
(13752, 19397335)
(14292, 19397347)
(14792, 19399133)
(13692, 19401294.74261491)
(13693, 19401618)
(13152, 19402080)
(13153, 19402386)
(12612, 19402632)
(12648, 19402940)
(12072, 19403024)
(12108, 19403044)
(12109, 19403080)
(10993, 19403209.081147075)
(11029, 19403254)
(10992, 19403349)
(11028, 19403398)
(11029, 19403436)
(10993, 19403500)
(11029, 19403570)
(11028, 19403684)
(11064, 19403803)
(10992, 19403950)
(11028, 19403957)
(11029, 19403975)
(11030, 19404009)
(11068, 19404111)
(11111, 19404219.107369777)
(11147, 19404443)
(11229, 19404460)
(11110, 19405271.71393243)
(13110, 19405647)
(12992, 19405653.53093948)
(12993, 19405681)
(13195, 19405871)
(12992, 19406017)
(12993, 19406472)
(13195, 19406748)
(12992, 19407048)
(13192, 19407496)
(12992, 19407642)
(13192, 19407807)
(11912, 19408121.918265395)
(11913, 19408190)
(11914, 19408207)
(11915, 19408486)
(12155, 19408519)
(14455, 19408540)
(17195, 19408546)
(17492, 19408557.16722516)
(17732, 19408572)
(16412, 19408674)
(16652, 19408766)
(16653, 19408769)
(16895, 19408783)
(17435, 19408821)
(17975, 19408947)
(20275, 19409017)
(22232, 19409328.482594807)
(22472, 19409331)
(22820, 19409371)
(21261, 19409545.519149587)
(23501, 19409869)
(24048, 19409889)
(24048, 19409909.405343194)
(24048, 19409940.68406543)
(24048, 19409958.11287877)
(24048, 19409995)
(24048, 19410009.936595798)
(24048, 19410035.700662896)
(24048, 19410073.173717145)
(24048, 19410312.721666135)
(24048, 19410341.31351638)
(24048, 19410349.530524116)
(24048, 19410371.890335158)
(24048, 19410425.89277334)
(24048, 19410460.266338725)
(24048, 19410775.369661205)
(24048, 19410890)
(23132, 19411561.75643479)
(24048, 19411585.36369307)
(24048, 19411794.85798645)
(23192, 19411804.36369307)
(23172, 19411851.36369307)
(23252, 19411886)
(23312, 19411898.85798645)
(23472, 19411903)
(23992, 19411929)
(24048, 19411943.856977146)
(24048, 19411948.957630277)
(24048, 19411958.728358913)
(24048, 19412134.264010772)
(23132, 19412285.264010772)
(23152, 19412372)
(23272, 19412378)
(24048, 19412383.306408666)
(24048, 19412562.752706513)
(22932, 19412966)
(23172, 19413342)
(15172, 19414804)
(17172, 19416808)
(22072, 19417005)
(24048, 19417814)
