id,S_ime,W_time,R_time,Processors,type,Max_resource,Min_resource
190616,55591225,2,44,32,1,32,32
190618,55591979,2,181,32,1,32,32
190619,55592278,2,173,32,1,32,32
190620,55593483,1,12,32,1,32,32
190624,55594204,2,14,32,1,32,32
190625,55594207,2,7676,64,1,64,64
190626,55594522,4,8809,512,1,512,512
190627,55594666,3,18439,256,1,256,256
190629,55595254,2,15,32,1,32,32
190630,55595487,2,17,32,1,32,32
190631,55596085,2,101,32,1,32,32
190632,55596198,4,189,32,1,32,32
190633,55596306,2,19,32,1,32,32
190634,55596533,2,208,32,1,32,32
190635,55596639,2,11,32,1,32,32
190636,55596891,2,161,32,1,32,32
190637,55596944,2,84,32,1,32,32
190638,55597054,2,96,32,1,32,32
190639,55597057,1,131,64,1,64,64
190640,55597201,2,261,32,1,32,32
190641,55597215,2,192,32,1,32,32
190642,55597519,4,1661,64,1,64,64
190643,55598144,4,197,32,1,32,32
190644,55599609,2,192,32,1,32,32
190645,55599815,2,292,32,1,32,32
190646,55600163,1,4743,32,1,32,32
190647,55600383,41202,7422,64,1,64,64
190648,55601090,2,7,32,1,32,32
190649,55601882,39706,5141,64,1,64,64
190650,55604313,1,12,32,1,32,32
190651,55604784,1,11,32,1,32,32
190652,55605088,1,9,32,1,32,32
190653,55605979,1,5,32,1,32,32
190654,55606245,2,891,32,1,32,32
190655,55606440,3,503,32,1,32,32
190656,55606992,34627,11,64,1,64,64
190657,55607458,3,1577,32,1,32,32
190658,55610364,1,2260,32,1,32,32
190659,55610519,51,11650,32,1,32,32
190660,55612821,1,7231,32,1,32,32
190661,55612906,235,1168,512,1,512,512
190662,55613105,1206,7614,512,1,512,512
190663,55613194,39485,11503,512,1,512,512
190664,55614308,7619,5148,512,1,512,512
190665,55614467,88567,13983,64,1,64,64
190666,55621921,3050,16535,256,1,256,256
190667,55622186,35,11612,32,1,32,32
190668,55622231,0,64,32,1,32,32
190670,55627074,3,4689,512,1,512,512
190671,55631763,5,4836,512,1,512,512
190672,55633756,0,77,32,1,32,32
190673,55633771,69272,13589,32,1,32,32
190674,55635845,2,5740,128,1,128,128
190675,55636071,5550,8398,128,1,128,128
190676,55636603,2,4832,512,1,512,512
190677,55639731,1896,226,128,1,128,128
190678,55641436,3,11229,512,1,512,512
190679,55641500,26,5825,256,1,256,256
190680,55641855,1,60,64,1,64,64
190681,55641918,15,46,32,1,32,32
190682,55641976,1,7882,128,1,128,128
190683,55641981,1,593,128,1,128,128
190684,55642576,2,428,64,1,64,64
190685,55643009,1,322,32,1,32,32
190686,55645288,59332,22629,128,1,128,128
190687,55645373,2,708,128,1,128,128
190688,55647278,2,62,32,1,32,32
190689,55647731,2,86,32,1,32,32
190690,55648646,2,85,32,1,32,32
190691,55648944,1,5967,64,1,64,64
190692,55649379,2,90,32,1,32,32
190693,55650015,2,3652,128,1,128,128
190694,55650270,2,82,64,1,64,64
190696,55650964,2,87,32,1,32,32
190697,55650996,2,4470,64,1,64,64
190699,55651546,3,383,32,1,32,32
190700,55652056,2,87,32,1,32,32
190701,55652503,10,140,32,1,32,32
190702,55652667,4,8430,256,1,256,256
190703,55653029,2,834,32,1,32,32
190704,55653666,1,2975,128,1,128,128
190705,55654848,2,7974,64,1,64,64
190706,55655462,2,4532,64,1,64,64
190707,55656051,2,568,32,1,32,32
190708,55656639,2,6334,128,1,128,128
190709,55657081,1,635,32,1,32,32
190710,55658238,2,36,32,1,32,32
190711,55658563,2,535,32,1,32,32
190713,55659987,1,4222,64,1,64,64
190714,55660131,2,1173,128,1,128,128
190715,55661100,4,8678,256,1,256,256
190716,55662817,2,7657,64,1,64,64
190717,55662864,1,2180,32,1,32,32
190718,55662971,1,3875,128,1,128,128
