S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource
32665216,1,1667,32,73714,1,32,32
32665266,1,16,128,73715,1,128,128
32665369,1,150,128,73716,1,128,128
32665391,1,3048,64,73717,1,64,64
32665686,1,549,128,73718,1,128,128
32665756,1,1149,64,73719,1,64,64
32666029,127522,16735,256,73720,1,256,256
32666247,339,440,128,73721,1,128,128
32666263,329,1847,32,73722,1,32,32
32666323,279,410,32,73723,1,32,32
32666383,644,2500,128,73724,1,128,128
32666600,437,3192,128,73725,1,128,128
32666601,0,71,128,73726,1,128,128
32666695,2,14,32,73727,1,32,32
32667225,2,3702,512,73728,1,512,512
32667231,3,3298,32,73729,1,32,32
32667232,0,21,512,73730,1,512,512
32667246,8,1165,128,73731,1,128,128
32667376,7220,4513,256,73732,1,256,256
32668445,2,571,32,73733,1,32,32
32668455,2,2871,64,73734,1,64,64
32668471,2,305,32,73735,1,32,32
32668503,2,590,32,73736,1,32,32
32668831,2,694,128,73737,1,128,128
32668887,1,406,128,73738,1,128,128
32669287,2,2887,32,73739,1,32,32
32669451,13105,6113,256,73740,1,256,256
32669560,1,11312,128,73741,1,128,128
32669893,2,231,32,73742,1,32,32
32670162,1,718,128,73743,1,128,128
32670251,2,3082,128,73744,1,128,128
32670450,2,314,32,73745,1,32,32
32670918,17752,5799,256,73746,1,256,256
32670964,1,11238,512,73747,1,512,512
32671282,2,953,32,73748,1,32,32
32671376,1,2712,64,73749,1,64,64
32671601,2,376,32,73750,1,32,32
32672104,2,3001,32,73751,1,32,32
32672393,2,6878,64,73752,1,64,64
32673038,2,728,32,73753,1,32,32
32673098,1,800,64,73754,1,64,64
32673112,2,412,32,73755,1,32,32
32673507,2,3081,128,73756,1,128,128
32673557,1,639,128,73757,1,128,128
32673999,2,15,32,73758,1,32,32
32674066,2,1374,32,73759,1,32,32
32674298,1,3449,64,73760,1,64,64
32674339,4,468,32,73761,1,32,32
32674540,19930,9342,256,73762,1,256,256
32675073,2,4596,32,73763,1,32,32
32675126,1,601,128,73764,1,128,128
32675263,2,3247,32,73765,1,32,32
32675573,2,205,32,73766,1,32,32
32675753,1,14,32,73767,1,32,32
32676475,27338,885,256,73768,1,256,256
32676512,2,11321,32,73769,1,32,32
32676628,1,360,128,73770,1,128,128
32676772,2,101,128,73771,1,128,128
32677018,2,14,32,73772,1,32,32
32677073,4,4036,128,73773,1,128,128
32677948,4,2446,64,73774,1,64,64
32679092,18,377,256,73775,1,256,256
32679473,15,3067,256,73776,1,256,256
32679520,1,444,128,73777,1,128,128
32680507,1,2298,64,73778,1,64,64
32680575,2,6802,32,73779,1,32,32
32681418,2,2818,128,73780,1,128,128
32681682,1,5412,64,73781,1,64,64
32681883,2,19,32,73782,1,32,32
32682541,4,108,32,73783,1,32,32
32682689,1,15123,128,73784,1,128,128
32682794,1,527,64,73785,1,64,64
32682882,2,11219,512,73786,1,512,512
32683077,246,373,64,73787,1,64,64
32683342,1,815,128,73788,1,128,128
32683695,3,505,128,73789,1,128,128
32683811,393,1403,64,73790,1,64,64
32684171,4,12,32,73791,1,32,32
32684320,1,5990,128,73792,1,128,128
32684466,1,2109,128,73793,1,128,128
32684701,1,1525,32,73794,1,32,32
32684705,1,611,32,73795,1,32,32
32685519,1,3093,32,73796,1,32,32
32685648,2,297,64,73797,1,64,64
32685720,857,618,128,73798,1,128,128
32685871,2,2445,32,73799,1,32,32
32685960,1,4481,64,73800,1,64,64
32686149,1,641,128,73801,1,128,128
32687199,2,3890,32,73802,1,32,32
32687253,2,982,128,73803,1,128,128
32687437,4,334,32,73804,1,32,32
32687485,2,1421,32,73805,1,32,32
32687693,2,877,128,73806,1,128,128
32687913,2,1289,32,73807,1,32,32
32688625,1,4090,32,73808,1,32,32
32688631,1,3590,64,73809,1,64,64
32688707,2,13,32,73810,1,32,32
32688920,1,660,128,73811,1,128,128
32689709,1,637,128,73812,1,128,128
32690362,2,17,32,73813,1,32,32
32690429,25963,12294,256,73814,1,256,256
32690483,2,6407,128,73815,1,128,128
32690534,12110,10910,128,73816,1,128,128
32690826,2,1109,32,73817,1,32,32
32690943,1,557,32,73818,1,32,32
32691104,2,94,32,73819,1,32,32
32691224,1,141,64,73820,1,64,64
32691370,1,682,128,73821,1,128,128
32691995,4,164,32,73822,1,32,32
32692122,1,830,128,73823,1,128,128
32692126,1,2901,128,73824,1,128,128
32692551,2,69,32,73825,1,32,32
32692563,0,34,32,73826,1,32,32
32692621,2,821,32,73827,1,32,32
32692961,4,183,32,73828,1,32,32
32693132,2,322,32,73829,1,32,32
32693716,1,26,32,73830,1,32,32
32694032,2,219,32,73831,1,32,32
32694362,2,310,32,73832,1,32,32
32694741,1,4699,64,73833,1,64,64
32694746,1,13478,512,73834,1,512,512
32694947,1,324,32,73835,1,32,32
32695157,1,673,64,73836,1,64,64
32695281,1,223,32,73837,1,32,32
32695295,2,50,32,73838,1,32,32
32695359,2,11,32,73839,1,32,32
32696210,2,145,32,73840,1,32,32
32696325,1,865,128,73841,1,128,128
32697013,1,3742,128,73842,1,128,128
32697265,1,1164,64,73843,1,64,64
32697406,7294,11690,256,73844,1,256,256
32697636,2,28,32,73845,1,32,32
32697659,2,38,32,73846,1,32,32
32697752,1,35,32,73847,1,32,32
32697769,3,41,32,73848,1,32,32
32698267,2,27,32,73849,1,32,32
32698274,1,25,32,73850,1,32,32
32698391,4,3619,64,73851,1,64,64
32698860,1,13097,32,73852,1,32,32
32699745,2,785,64,73853,1,64,64
32700113,2,146,32,73854,1,32,32
32700996,1,1645,128,73855,1,128,128
32701816,2,159,32,73856,1,32,32
32702035,1,604,128,73857,1,128,128
32702816,42788,3465,128,73858,1,128,128
32702830,1,13,32,73859,1,32,32
32703572,1,243,64,73860,1,64,64
32703744,3,13,32,73861,1,32,32
32703767,1,2110,32,73862,1,32,32
32703820,2,392,64,73863,1,64,64
32704137,1,12,32,73864,1,32,32
32704297,1,10,32,73865,1,32,32
32704325,2,105,32,73866,1,32,32
32704457,1,11,32,73867,1,32,32
32704644,1,12,32,73868,1,32,32
32705228,1,275,64,73869,1,64,64
32705899,1,12,32,73870,1,32,32
32705982,1,1813,64,73871,1,64,64
32706278,2896,10652,64,73872,1,64,64
32706602,2,368,32,73873,1,32,32
32706792,2,14,32,73874,1,32,32
32707005,1,10,32,73875,1,32,32
32707104,2,362,32,73876,1,32,32
32707479,1,12,32,73877,1,32,32
32707539,2,5,32,73878,1,32,32
32707563,1,1772,32,73879,1,32,32
32707640,21048,539,256,73880,1,256,256
32707693,124,1336,64,73881,1,64,64
32708236,85013,21166,512,73882,1,512,512
32709976,1,3920,32,73883,1,32,32
32710031,2,1743,32,73884,1,32,32
32712376,2,1748,32,73885,1,32,32
32712468,16763,9514,256,73886,1,256,256
32712957,1,2882,32,73887,1,32,32
32713132,16292,16203,512,73888,1,512,512
32714098,30,1741,32,73889,1,32,32
32714136,0,60,32,73890,1,32,32
32716861,2,830,32,73891,1,32,32
32717845,4,1029,32,73892,1,32,32
32719793,1,980,32,73893,1,32,32
32720933,7766,9948,128,73894,1,128,128
32722671,2,1220,32,73895,1,32,32
32738683,63,9403,256,73896,1,256,256
32742227,2,2432,128,73897,1,128,128
32743731,1869,97,128,73898,1,128,128
32744780,838,3743,64,73899,1,64,64
32744859,43930,22127,32,73900,1,32,32
32745699,1,54,64,73901,1,64,64
32745755,1,46,32,73902,1,32,32
32745803,1,40,32,73903,1,32,32
32745846,1,341,128,73904,1,128,128
32746190,1,295,64,73905,1,64,64
32746488,1,261,32,73906,1,32,32
32746752,1,274,32,73907,1,32,32
32748088,63,5935,256,73908,1,256,256
32748513,6,11225,512,73909,1,512,512
32749114,9,5275,128,73910,1,128,128
32749590,1,1747,128,73911,1,128,128
32749914,10,423,128,73912,1,128,128
32750116,6,3963,64,73913,1,64,64
32751471,2,351,128,73914,1,128,128
32751539,286,5415,128,73915,1,128,128
32751679,2,872,128,73916,1,128,128
32751856,123,5040,128,73917,1,128,128
32752127,4913,656,128,73918,1,128,128
32752599,1,13,32,73919,1,32,32
32752794,1293,470,256,73920,1,256,256
32753091,2,487,32,73921,1,32,32
32753225,2,10,32,73922,1,32,32
32753299,2,77,32,73923,1,32,32
32753343,4,625,64,73924,1,64,64
32753465,2,48,32,73925,1,32,32
32753722,1,2704,64,73926,1,64,64
32753899,2,523,32,73927,1,32,32
32754331,1,16865,32,73928,1,32,32
32754437,2,4555,64,73929,1,64,64
32754481,1,7370,64,73930,1,64,64
32754533,3,20,64,73931,1,64,64
32754548,2628,531,128,73932,1,128,128
32754795,2,12610,64,73933,1,64,64
32754929,2,23,64,73934,1,64,64
32755182,2,22,64,73935,1,64,64
32755279,1,13,32,73936,1,32,32
32755403,1,40,64,73937,1,64,64
32755414,2,64,32,73938,1,32,32
32755567,1,1324,64,73939,1,64,64
32755582,2,338,32,73940,1,32,32
32755583,0,45,64,73941,1,64,64
32755627,2,327,32,73942,1,32,32
32755951,2,32,64,73943,1,64,64
32755960,1,101,32,73944,1,32,32
32756046,1,157,256,73945,1,256,256
32756071,2,591,32,73946,1,32,32
32756100,126,8352,256,73947,1,256,256
32756524,8055,1826,256,73948,1,256,256
32756635,1,47,32,73949,1,32,32
32756908,2,107,32,73950,1,32,32
32756926,2,519,64,73951,1,64,64
32756994,48,321,64,73952,1,64,64
32757080,1,35,32,73953,1,32,32
32757164,2,17,32,73954,1,32,32
32757178,2,124,32,73955,1,32,32
32757196,45,4964,128,73956,1,128,128
32757365,2,167,32,73957,1,32,32
32757456,1,937,64,73958,1,64,64
32757501,2,9,32,73959,1,32,32
32757657,14548,7627,256,73960,1,256,256
32757681,28,7743,128,73961,1,128,128
32758287,3,410,128,73962,1,128,128
32758544,1,1656,64,73963,1,64,64
32758556,0,63,64,73964,1,64,64
32758990,5,25,64,73965,1,64,64
32759034,1,8224,64,73966,1,64,64
32759071,7336,5797,256,73967,1,256,256
32759159,2,13,32,73968,1,32,32
